x, y
0, 0
0.1943334604384286, 1.402439824319251
0.9716584063801562, 2.743902183727899
1.5546543397894361, 3.6585362449705316
2.040485766932509, 4.451220958875242
3.012144173312657, 7.134145677692537
3.595140106721945, 9.268292751005895
3.983807027598794, 10.975610130532417
4.761131973540522, 11.951220261064831
5.441296861122015, 13.048781134555991
6.121457300797522, 14.634146375502947
7.190284661349875, 16.40243842869843
8.064778561463807, 19.024389869467587
10.105264328396313, 19.878047861420438
12.048581141156616, 18.170731877514736
16.129552675021625, 14.817073187751474
24.19433568439142, 11.402439824319252
30.21862403101673, 8.536585502011787
36.04858336510961, 6.036584804201377
48, 2.682927510058937
