x, y
0, 0
0.680160439675512, 1.2195130120707245
1.1659918668185765, 2.2560992118929226
2.5263171940755735, 3.4756094327220053
3.2064776337510854, 4.390243493964638
3.983807027598794, 5.731708644614928
4.566802961008082, 6.524390567277996
5.24696340068359, 7.439024628520628
6.0242927945312985, 8.719512314260314
6.995951200911455, 9.451219563254421
8.064778561463807, 10.914634061242634
10.105264328396313, 12.317073885561884
12.048581141156616, 12.865854322307465
16.03239261666139, 11.280487685739686
23.99999777604701, 8.719512314260314
30.121455076844526, 6.585365240946957
36.14575231928181, 4.451220958875242
48.09716895417221, 2.195121746982319
