x,y = 1.25,y = 2.5,y = 5,y = 10,y = 12.5,y = 15,y = 17.5,y = 20
0,0,0,0,0,0,0,0,0
0.6670830476,0.1899705236,0.2431629381,0.5471124366,1.280487686,1.03343553,1.219513012,1.580547967,1.402439824
1.382823067,0.09878511753,0.5471124366,0.972646187,1.951220261,1.945289591,2.256099212,2.249241872,3.658536245
2.365353364,0.1899705236,0.7294832488,2.370820559,2.743902184,2.857143652,3.475609433,3.525837558,4.451220959
3.141723611,0.2507598668,1.094224873,2.67477284,3.597561571,3.586626901,4.390243494,5.167174868,7.134145678
3.793852915,0.3115519927,1.276595685,2.917932995,4.451220959,4.559270305,5.731708645,6.322189084,9.268292751
4.549036319,0.3039522813,1.580547967,3.343466746,5.121950743,5.531916492,6.524390567,7.537995427,11.95122026
5.264678749,0.3875379759,1.580547967,3.647416244,5.67073118,6.504559896,7.439024629,8.510638831,13.04878113
5.968224133,0.3647416244,1.580547967,3.951368525,6.219511616,7.537995427,8.719512314,9.848023859,14.63414638
7.068960228,0.4179340389,1.762918779,4.498480962,6.524390567,8.753798986,9.451219563,12.58358743,16.40243843
8.309163687,0.433130679,1.884500248,4.133739338,7.256097816,9.908815985,10.91463406,14.46808629,19.02438987
10.43189855,0.433130679,2.006078934,4.31611015,7.439024629,9.726445173,12.31707389,16.41337449,19.87804786
12.57882473,0.4027373988,2.127660403,4.255320807,7.439024629,9.179332736,12.86585432,15.19756954,18.17073188
16.29398884,0.463526742,1.64133731,3.829787056,6.341463755,7.781155582,11.28048769,14.6504571,14.81707319
24.03944144,0.2355632267,1.337387811,2.857143652,4.939023931,6.322189084,8.719512314,10.45592842,11.40243982
30.07435881,0.1443778206,0.7902753748,2.006078934,3.658536245,4.620062431,6.585365241,7.477203301,8.536585502
36.14278066,0.1139817576,0.4863230935,1.458966498,2.743902184,3.221885277,4.451220959,3.768997713,6.036584804
48.01854482,0.06370567328,0.3039522813,0.6079045625,1.280487686,1.398177155,2.195121747,2.006078934,2.68292751
