x,y = 1.25,y = 2.5,y = 5
0,0,0,0
0.6670830476,0.1899705236,0.2431629381,0.5471124366
1.382823067,0.09878511753,0.5471124366,0.972646187
2.365353364,0.1899705236,0.7294832488,2.370820559
3.141723611,0.2507598668,1.094224873,2.67477284
3.793852915,0.3115519927,1.276595685,2.917932995
4.549036319,0.3039522813,1.580547967,3.343466746
5.264678749,0.3875379759,1.580547967,3.647416244
5.968224133,0.3647416244,1.580547967,3.951368525
7.068960228,0.4179340389,1.762918779,4.498480962
8.309163687,0.433130679,1.884500248,4.133739338
10.43189855,0.433130679,2.006078934,4.31611015
12.57882473,0.4027373988,2.127660403,4.255320807
16.29398884,0.463526742,1.64133731,3.829787056
24.03944144,0.2355632267,1.337387811,2.857143652
30.07435881,0.1443778206,0.7902753748,2.006078934
36.14278066,0.1139817576,0.4863230935,1.458966498
48.01854482,0.06370567328,0.3039522813,0.6079045625
